Incident_ID,Victim_District,Fraud_Type,Amount_INR,Time_of_Complaint,Time_to_Withdraw,Target_ATM_Zone,Specific_ATM_Location
INC-11510,Tonk,Investment Scam,91826,23:23,12-24 Hours,Jhotwara,"SBI ATM, Lata Circle, Jhotwara"
INC-11511,Ajmer,Credit Card Cloning,132814,04:35,12-24 Hours,Malviya Nagar,"SBI ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11512,Udaipur,Job Fraud,25316,17:05,1-2 Hours,Malviya Nagar,"PNB ATM, Sector 3 Market, Malviya Nagar"
INC-11513,Kota,Job Fraud,54417,01:17,12-24 Hours,Mansarovar,"Union Bank ATM, Kissan Dharam Kanta, Mansarovar"
INC-11514,Bhilwara,UPI Scam,23195,20:52,1-2 Hours,Bani Park,"HDFC ATM, Collectorate Circle, Bani Park"
INC-11515,Bikaner,Sextortion,186538,03:05,12-24 Hours,Jhotwara,"Kotak Mahindra ATM, Panchawala, Jhotwara"
INC-11516,Ajmer,Sextortion,257309,22:02,12-24 Hours,Pratap Nagar,"Kotak Mahindra ATM, Haldi Ghati Marg, Pratap Nagar"
INC-11517,Kota,Investment Scam,105392,03:07,12-24 Hours,Pratap Nagar,"Union Bank ATM, Kumbha Marg, Pratap Nagar"
INC-11518,Jaipur,Loan App Fraud,25998,22:34,1-2 Hours,Malviya Nagar,"Axis Bank ATM, Apex Circle, Malviya Nagar"
INC-11519,Bhilwara,Sextortion,229410,22:48,12-24 Hours,Pratap Nagar,"PNB ATM, Tonk Road, Pratap Nagar"
INC-11520,Bhilwara,Loan App Fraud,38785,22:43,12-24 Hours,Pratap Nagar,"SBI ATM, Kumbha Marg, Pratap Nagar"
INC-11521,Sikar,KYC Fraud,25234,18:39,1-2 Hours,Mansarovar,"Union Bank ATM, VT Road Chauraha, Mansarovar"
INC-11522,Tonk,Credit Card Cloning,93590,00:05,12-24 Hours,Jhotwara,"PNB ATM, Lata Circle, Jhotwara"
INC-11523,Bikaner,UPI Scam,16294,12:18,1-2 Hours,Bani Park,"SBI ATM, Kabir Marg, Bani Park"
INC-11524,Tonk,Loan App Fraud,65336,00:31,12-24 Hours,Jhotwara,"HDFC ATM, Kalwar Road, Jhotwara"
INC-11525,Bhilwara,Investment Scam,164638,22:00,12-24 Hours,Vidyadhar Nagar,"HDFC ATM, Central Spine, Vidyadhar Nagar"
INC-11526,Pali,KYC Fraud,18433,14:49,1-2 Hours,Mansarovar,"ICICI ATM, Kaveri Path, Mansarovar"
INC-11527,Sikar,Loan App Fraud,90753,10:29,12-24 Hours,Vidyadhar Nagar,"SBI ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-11528,Jodhpur,Loan App Fraud,97261,12:39,12-24 Hours,Sitapura Industrial,"Axis Bank ATM, RIICO Phase 1, Sitapura Industrial"
INC-11529,Alwar,KYC Fraud,21576,13:19,1-2 Hours,Mansarovar,"HDFC ATM, Madhyam Marg, Mansarovar"
INC-11530,Bikaner,Loan App Fraud,89990,05:52,12-24 Hours,Pratap Nagar,"Kotak Mahindra ATM, Haldi Ghati Marg, Pratap Nagar"
INC-11531,Jodhpur,Job Fraud,60749,10:46,12-24 Hours,Bani Park,"PNB ATM, Peetal Factory, Bani Park"
INC-11532,Kota,UPI Scam,9300,12:39,1-2 Hours,Bani Park,"HDFC ATM, Kabir Marg, Bani Park"
INC-11533,Pali,Loan App Fraud,92762,03:28,12-24 Hours,Vaishali Nagar,"PNB ATM, Gandhi Path, Vaishali Nagar"
INC-11534,Tonk,OLX Scam,15464,20:42,1-2 Hours,Jhotwara,"Union Bank ATM, Lata Circle, Jhotwara"
INC-11535,Jaipur,Loan App Fraud,66014,13:57,12-24 Hours,Mansarovar,"SBI ATM, Madhyam Marg, Mansarovar"
INC-11536,Jaipur,Investment Scam,173243,04:03,12-24 Hours,Pratap Nagar,"Union Bank ATM, Tonk Road, Pratap Nagar"
INC-11537,Kota,Loan App Fraud,67424,12:41,12-24 Hours,Jagatpura,"Union Bank ATM, NRI Colony, Jagatpura"
INC-11538,Jodhpur,UPI Scam,13654,18:46,1-2 Hours,Malviya Nagar,"Kotak Mahindra ATM, JLN Marg, Malviya Nagar"
INC-11539,Pali,Investment Scam,77170,02:03,12-24 Hours,Jhotwara,"PNB ATM, Triton Mall Road, Jhotwara"
INC-11540,Alwar,Credit Card Cloning,109561,00:08,12-24 Hours,Sitapura Industrial,"Axis Bank ATM, India Gate, Sitapura Industrial"
INC-11541,Tonk,OLX Scam,21053,10:08,1-2 Hours,Malviya Nagar,"Axis Bank ATM, Sector 3 Market, Malviya Nagar"
INC-11542,Bhilwara,Sextortion,252096,02:39,12-24 Hours,Sitapura Industrial,"HDFC ATM, Tonk Road Junction, Sitapura Industrial"
INC-11543,Udaipur,Investment Scam,202022,03:54,12-24 Hours,Sitapura Industrial,"Bank of Baroda ATM, India Gate, Sitapura Industrial"
INC-11544,Udaipur,KYC Fraud,12758,11:39,1-2 Hours,Malviya Nagar,"PNB ATM, JLN Marg, Malviya Nagar"
INC-11545,Jodhpur,Loan App Fraud,89717,21:18,12-24 Hours,Vidyadhar Nagar,"PNB ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-11546,Bikaner,Credit Card Cloning,190078,23:05,12-24 Hours,Pratap Nagar,"HDFC ATM, Tonk Road, Pratap Nagar"
INC-11547,Jodhpur,Loan App Fraud,42757,11:32,12-24 Hours,Malviya Nagar,"Union Bank ATM, Calgiri Road, Malviya Nagar"
INC-11548,Udaipur,KYC Fraud,8108,16:19,1-2 Hours,Bani Park,"Axis Bank ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-11549,Ajmer,Job Fraud,23508,22:07,1-2 Hours,Bani Park,"PNB ATM, Kabir Marg, Bani Park"
INC-11550,Tonk,KYC Fraud,21778,17:35,1-2 Hours,Malviya Nagar,"ICICI ATM, Apex Circle, Malviya Nagar"
INC-11551,Tonk,Loan App Fraud,87437,11:42,12-24 Hours,Sitapura Industrial,"Bank of Baroda ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11552,Sikar,Sextortion,170042,01:39,12-24 Hours,Vidyadhar Nagar,"Bank of Baroda ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-11553,Bhilwara,Loan App Fraud,31917,08:40,12-24 Hours,Pratap Nagar,"HDFC ATM, Tonk Road, Pratap Nagar"
INC-11554,Pali,Credit Card Cloning,64143,00:34,12-24 Hours,Jhotwara,"ICICI ATM, Lata Circle, Jhotwara"
INC-11555,Sikar,Loan App Fraud,70098,08:39,12-24 Hours,Bani Park,"Union Bank ATM, Peetal Factory, Bani Park"
INC-11556,Bhilwara,Credit Card Cloning,250104,23:42,12-24 Hours,Jhotwara,"SBI ATM, Panchawala, Jhotwara"
INC-11557,Sikar,OLX Scam,26329,19:28,1-2 Hours,Vaishali Nagar,"SBI ATM, Queens Road, Vaishali Nagar"
INC-11558,Pali,KYC Fraud,11110,14:40,1-2 Hours,Malviya Nagar,"Kotak Mahindra ATM, Calgiri Road, Malviya Nagar"
INC-11559,Alwar,Loan App Fraud,64621,08:55,12-24 Hours,Mansarovar,"SBI ATM, Rajat Path, Mansarovar"
INC-11560,Sikar,UPI Scam,15229,19:29,1-2 Hours,Vaishali Nagar,"Union Bank ATM, Amrapali Circle, Vaishali Nagar"
INC-11561,Jaipur,UPI Scam,28457,14:12,1-2 Hours,Mansarovar,"Union Bank ATM, Kissan Dharam Kanta, Mansarovar"
INC-11562,Jodhpur,KYC Fraud,22937,14:46,1-2 Hours,Bani Park,"Kotak Mahindra ATM, Peetal Factory, Bani Park"
INC-11563,Pali,Investment Scam,180233,02:21,12-24 Hours,Pratap Nagar,"SBI ATM, Sector 11, Pratap Nagar"
INC-11564,Jodhpur,UPI Scam,29990,11:47,1-2 Hours,Malviya Nagar,"SBI ATM, Apex Circle, Malviya Nagar"
INC-11565,Bikaner,Credit Card Cloning,150100,03:52,12-24 Hours,Sitapura Industrial,"Union Bank ATM, RIICO Phase 1, Sitapura Industrial"
INC-11566,Jodhpur,Credit Card Cloning,198594,03:25,12-24 Hours,Sitapura Industrial,"Bank of Baroda ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11567,Kota,Loan App Fraud,53962,09:57,12-24 Hours,Bani Park,"SBI ATM, Collectorate Circle, Bani Park"
INC-11568,Bhilwara,UPI Scam,6975,19:20,1-2 Hours,Bani Park,"SBI ATM, Kabir Marg, Bani Park"
INC-11569,Sikar,Job Fraud,57831,22:22,12-24 Hours,Bani Park,"ICICI ATM, Peetal Factory, Bani Park"
INC-11570,Bikaner,KYC Fraud,20125,17:45,1-2 Hours,Vaishali Nagar,"ICICI ATM, Amrapali Circle, Vaishali Nagar"
INC-11571,Ajmer,Credit Card Cloning,174945,01:47,12-24 Hours,Pratap Nagar,"Union Bank ATM, Haldi Ghati Marg, Pratap Nagar"
INC-11572,Bhilwara,Investment Scam,111784,03:39,12-24 Hours,Jhotwara,"HDFC ATM, Kalwar Road, Jhotwara"
INC-11573,Alwar,Job Fraud,34196,14:30,12-24 Hours,Bani Park,"Bank of Baroda ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-11574,Pali,Sextortion,114757,23:34,12-24 Hours,Vidyadhar Nagar,"SBI ATM, Central Spine, Vidyadhar Nagar"
INC-11575,Pali,Credit Card Cloning,239617,10:38,12-24 Hours,Vaishali Nagar,"PNB ATM, Amrapali Circle, Vaishali Nagar"
INC-11576,Tonk,OLX Scam,13715,10:17,1-2 Hours,Sitapura Industrial,"SBI ATM, EPI Zone, Sitapura Industrial"
INC-11577,Sikar,Credit Card Cloning,182088,00:01,12-24 Hours,Vidyadhar Nagar,"HDFC ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-11578,Jodhpur,Investment Scam,168002,01:23,12-24 Hours,Pratap Nagar,"Axis Bank ATM, Kumbha Marg, Pratap Nagar"
INC-11579,Jodhpur,KYC Fraud,28916,14:22,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Amrapali Circle, Vaishali Nagar"
INC-11580,Tonk,Sextortion,170523,01:53,12-24 Hours,Sitapura Industrial,"ICICI ATM, RIICO Phase 1, Sitapura Industrial"
INC-11581,Tonk,Job Fraud,83440,15:43,12-24 Hours,Jhotwara,"HDFC ATM, Kanta Chauraha, Jhotwara"
INC-11582,Ajmer,KYC Fraud,18715,11:38,1-2 Hours,Mansarovar,"Axis Bank ATM, Madhyam Marg, Mansarovar"
INC-11583,Pali,Sextortion,281492,08:48,12-24 Hours,C-Scheme,"SBI ATM, Statue Circle, C-Scheme"
INC-11584,Kota,OLX Scam,28176,19:14,1-2 Hours,Bani Park,"HDFC ATM, Kabir Marg, Bani Park"
INC-11585,Kota,Sextortion,277828,04:14,12-24 Hours,Jhotwara,"HDFC ATM, Kanta Chauraha, Jhotwara"
INC-11586,Sikar,Job Fraud,97258,15:39,12-24 Hours,Jhotwara,"Kotak Mahindra ATM, Kanta Chauraha, Jhotwara"
INC-11587,Alwar,Job Fraud,91442,21:12,12-24 Hours,Vaishali Nagar,"PNB ATM, Amrapali Circle, Vaishali Nagar"
INC-11588,Jodhpur,Job Fraud,97689,07:42,12-24 Hours,Sitapura Industrial,"SBI ATM, RIICO Phase 1, Sitapura Industrial"
INC-11589,Sikar,Sextortion,285052,01:47,12-24 Hours,Vidyadhar Nagar,"Kotak Mahindra ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-11590,Bikaner,Job Fraud,71806,03:12,12-24 Hours,Bani Park,"Axis Bank ATM, Kabir Marg, Bani Park"
INC-11591,Bhilwara,Credit Card Cloning,78828,01:09,12-24 Hours,Pratap Nagar,"HDFC ATM, Sector 16 Market, Pratap Nagar"
INC-11592,Sikar,KYC Fraud,14398,17:54,1-2 Hours,Mansarovar,"Bank of Baroda ATM, VT Road Chauraha, Mansarovar"
INC-11593,Jodhpur,Sextortion,298891,03:24,12-24 Hours,Pratap Nagar,"HDFC ATM, Kumbha Marg, Pratap Nagar"
INC-11594,Tonk,Sextortion,238549,00:53,12-24 Hours,Pratap Nagar,"Bank of Baroda ATM, Tonk Road, Pratap Nagar"
INC-11595,Bikaner,Investment Scam,291600,03:08,12-24 Hours,Pratap Nagar,"SBI ATM, Tonk Road, Pratap Nagar"
INC-11596,Tonk,Investment Scam,237930,11:58,12-24 Hours,Sitapura Industrial,"HDFC ATM, RIICO Phase 1, Sitapura Industrial"
INC-11597,Ajmer,Loan App Fraud,77864,19:11,12-24 Hours,Malviya Nagar,"HDFC ATM, JLN Marg, Malviya Nagar"
INC-11598,Udaipur,Investment Scam,161383,03:31,12-24 Hours,Vidyadhar Nagar,"Kotak Mahindra ATM, National Highway 52 Bypass, Vidyadhar Nagar"
INC-11599,Tonk,Investment Scam,97548,08:03,12-24 Hours,Jagatpura,"Union Bank ATM, NRI Colony, Jagatpura"
INC-11600,Kota,Sextortion,281958,01:52,12-24 Hours,Malviya Nagar,"Union Bank ATM, JLN Marg, Malviya Nagar"
INC-11601,Tonk,Job Fraud,33834,21:20,12-24 Hours,Pratap Nagar,"SBI ATM, Sector 16 Market, Pratap Nagar"
INC-11602,Jaipur,Job Fraud,70492,15:37,12-24 Hours,Malviya Nagar,"SBI ATM, Sector 3 Market, Malviya Nagar"
INC-11603,Alwar,Job Fraud,18942,17:20,1-2 Hours,C-Scheme,"ICICI ATM, Ahinsa Circle, C-Scheme"
INC-11604,Pali,UPI Scam,14795,15:12,1-2 Hours,Malviya Nagar,"SBI ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11605,Bikaner,Credit Card Cloning,199541,22:52,12-24 Hours,Pratap Nagar,"HDFC ATM, Tonk Road, Pratap Nagar"
INC-11606,Bhilwara,UPI Scam,16314,15:21,1-2 Hours,Mansarovar,"Axis Bank ATM, Kaveri Path, Mansarovar"
INC-11607,Bikaner,Job Fraud,84104,02:13,12-24 Hours,Mansarovar,"HDFC ATM, Madhyam Marg, Mansarovar"
INC-11608,Bikaner,Sextortion,56893,17:52,12-24 Hours,Malviya Nagar,"Bank of Baroda ATM, Apex Circle, Malviya Nagar"
INC-11609,Tonk,Sextortion,142022,01:06,12-24 Hours,Vidyadhar Nagar,"SBI ATM, Sector 2, Vidyadhar Nagar"
INC-11610,Kota,Credit Card Cloning,79531,00:21,12-24 Hours,Sitapura Industrial,"HDFC ATM, EPI Zone, Sitapura Industrial"
INC-11611,Jaipur,Loan App Fraud,56174,21:13,12-24 Hours,Mansarovar,"Axis Bank ATM, Kissan Dharam Kanta, Mansarovar"
INC-11612,Kota,Sextortion,88523,03:28,12-24 Hours,Pratap Nagar,"PNB ATM, Sector 16 Market, Pratap Nagar"
INC-11613,Udaipur,Sextortion,184974,02:05,12-24 Hours,Jhotwara,"ICICI ATM, Triton Mall Road, Jhotwara"
INC-11614,Pali,OLX Scam,3225,10:14,1-2 Hours,Vaishali Nagar,"SBI ATM, Amrapali Circle, Vaishali Nagar"
INC-11615,Sikar,UPI Scam,15501,11:31,1-2 Hours,Mansarovar,"Axis Bank ATM, Kissan Dharam Kanta, Mansarovar"
INC-11616,Pali,Job Fraud,24857,20:06,1-2 Hours,Bani Park,"SBI ATM, Kabir Marg, Bani Park"
INC-11617,Jaipur,OLX Scam,5835,14:05,1-2 Hours,Bani Park,"Union Bank ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-11618,Kota,Credit Card Cloning,258451,03:30,12-24 Hours,Pratap Nagar,"Union Bank ATM, Kumbha Marg, Pratap Nagar"
INC-11619,Ajmer,UPI Scam,14622,17:32,1-2 Hours,Malviya Nagar,"SBI ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11620,Bikaner,KYC Fraud,26238,15:46,1-2 Hours,Malviya Nagar,"Kotak Mahindra ATM, Calgiri Road, Malviya Nagar"
INC-11621,Alwar,OLX Scam,10915,01:43,1-2 Hours,Vidyadhar Nagar,"Union Bank ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-11622,Tonk,Investment Scam,267685,02:19,12-24 Hours,Pratap Nagar,"ICICI ATM, Tonk Road, Pratap Nagar"
INC-11623,Bikaner,KYC Fraud,8629,13:44,1-2 Hours,C-Scheme,"Kotak Mahindra ATM, Subhash Marg, C-Scheme"
INC-11624,Alwar,UPI Scam,23991,10:35,1-2 Hours,Vaishali Nagar,"HDFC ATM, Hanuman Nagar, Vaishali Nagar"
INC-11625,Udaipur,UPI Scam,7221,11:26,1-2 Hours,Malviya Nagar,"Axis Bank ATM, Sector 3 Market, Malviya Nagar"
INC-11626,Jaipur,Credit Card Cloning,209757,01:52,12-24 Hours,Sitapura Industrial,"Kotak Mahindra ATM, India Gate, Sitapura Industrial"
INC-11627,Jaipur,KYC Fraud,21603,13:16,1-2 Hours,Mansarovar,"HDFC ATM, VT Road Chauraha, Mansarovar"
INC-11628,Ajmer,Investment Scam,194340,03:45,12-24 Hours,Sitapura Industrial,"PNB ATM, EPI Zone, Sitapura Industrial"
INC-11629,Kota,UPI Scam,2521,14:35,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Amrapali Circle, Vaishali Nagar"
INC-11630,Alwar,Loan App Fraud,55718,17:20,12-24 Hours,Jagatpura,"Bank of Baroda ATM, 7 Number Stand, Jagatpura"
INC-11631,Jaipur,Sextortion,166373,00:24,12-24 Hours,Sitapura Industrial,"ICICI ATM, India Gate, Sitapura Industrial"
INC-11632,Kota,Investment Scam,200793,04:50,12-24 Hours,Jhotwara,"Axis Bank ATM, Kalwar Road, Jhotwara"
INC-11633,Bikaner,KYC Fraud,6787,20:10,1-2 Hours,Bani Park,"Bank of Baroda ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-11634,Alwar,Investment Scam,286184,03:44,12-24 Hours,Jhotwara,"HDFC ATM, Kanta Chauraha, Jhotwara"
INC-11635,Jodhpur,KYC Fraud,8941,10:29,1-2 Hours,Malviya Nagar,"ICICI ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11636,Sikar,Credit Card Cloning,127484,01:44,12-24 Hours,Pratap Nagar,"HDFC ATM, Tonk Road, Pratap Nagar"
INC-11637,Jodhpur,Loan App Fraud,39247,15:46,12-24 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Gandhi Path, Vaishali Nagar"
INC-11638,Bhilwara,Credit Card Cloning,63048,03:20,12-24 Hours,Pratap Nagar,"PNB ATM, Haldi Ghati Marg, Pratap Nagar"
INC-11639,Alwar,Credit Card Cloning,224327,02:52,12-24 Hours,Sitapura Industrial,"SBI ATM, RIICO Phase 1, Sitapura Industrial"
INC-11640,Alwar,KYC Fraud,25203,18:03,1-2 Hours,Vaishali Nagar,"Union Bank ATM, Nursery Circle, Vaishali Nagar"
INC-11641,Udaipur,Investment Scam,192315,03:02,12-24 Hours,Vidyadhar Nagar,"HDFC ATM, Central Spine, Vidyadhar Nagar"
INC-11642,Jodhpur,Sextortion,256184,00:55,12-24 Hours,Sitapura Industrial,"PNB ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11643,Jaipur,OLX Scam,9015,12:48,1-2 Hours,Malviya Nagar,"SBI ATM, Apex Circle, Malviya Nagar"
INC-11644,Pali,Sextortion,103298,22:20,12-24 Hours,Vidyadhar Nagar,"Kotak Mahindra ATM, Alka Cinema Road, Vidyadhar Nagar"
INC-11645,Ajmer,UPI Scam,5168,18:57,1-2 Hours,Malviya Nagar,"Kotak Mahindra ATM, Sector 3 Market, Malviya Nagar"
INC-11646,Ajmer,OLX Scam,25022,10:18,1-2 Hours,Vaishali Nagar,"Bank of Baroda ATM, Nursery Circle, Vaishali Nagar"
INC-11647,Pali,Loan App Fraud,17880,21:08,1-2 Hours,Sitapura Industrial,"Union Bank ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11648,Ajmer,OLX Scam,21807,04:25,1-2 Hours,Sitapura Industrial,"Bank of Baroda ATM, RIICO Phase 1, Sitapura Industrial"
INC-11649,Sikar,Loan App Fraud,28323,09:34,1-2 Hours,Malviya Nagar,"Union Bank ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11650,Bhilwara,KYC Fraud,3440,17:13,1-2 Hours,Mansarovar,"PNB ATM, Kissan Dharam Kanta, Mansarovar"
INC-11651,Jodhpur,KYC Fraud,13440,20:29,1-2 Hours,Mansarovar,"HDFC ATM, Rajat Path, Mansarovar"
INC-11652,Pali,Job Fraud,78581,22:35,12-24 Hours,Vidyadhar Nagar,"Union Bank ATM, Central Spine, Vidyadhar Nagar"
INC-11653,Kota,Credit Card Cloning,293574,03:21,12-24 Hours,Jhotwara,"Union Bank ATM, Kanta Chauraha, Jhotwara"
INC-11654,Pali,KYC Fraud,3017,13:45,1-2 Hours,Malviya Nagar,"Bank of Baroda ATM, Calgiri Road, Malviya Nagar"
INC-11655,Tonk,Sextortion,154091,09:59,12-24 Hours,Vaishali Nagar,"Bank of Baroda ATM, Queens Road, Vaishali Nagar"
INC-11656,Pali,Loan App Fraud,85950,10:34,12-24 Hours,Jhotwara,"HDFC ATM, Panchawala, Jhotwara"
INC-11657,Alwar,UPI Scam,14895,13:44,1-2 Hours,Vaishali Nagar,"PNB ATM, Nursery Circle, Vaishali Nagar"
INC-11658,Kota,OLX Scam,17462,10:02,1-2 Hours,Vaishali Nagar,"SBI ATM, Hanuman Nagar, Vaishali Nagar"
INC-11659,Jaipur,Investment Scam,189788,21:53,12-24 Hours,Vaishali Nagar,"HDFC ATM, Nursery Circle, Vaishali Nagar"
INC-11660,Jodhpur,UPI Scam,14980,18:48,1-2 Hours,Bani Park,"ICICI ATM, Sindhi Camp Bus Stand Road, Bani Park"
INC-11661,Udaipur,OLX Scam,24954,16:33,1-2 Hours,Sitapura Industrial,"PNB ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11662,Jaipur,Job Fraud,88042,14:27,12-24 Hours,Pratap Nagar,"Axis Bank ATM, Sector 16 Market, Pratap Nagar"
INC-11663,Jaipur,KYC Fraud,15173,20:31,1-2 Hours,Mansarovar,"Bank of Baroda ATM, Kissan Dharam Kanta, Mansarovar"
INC-11664,Kota,UPI Scam,10844,17:15,1-2 Hours,Vaishali Nagar,"SBI ATM, Gandhi Path, Vaishali Nagar"
INC-11665,Bikaner,KYC Fraud,25558,07:14,1-2 Hours,Jagatpura,"HDFC ATM, Ramnagariya, Jagatpura"
INC-11666,Bhilwara,Credit Card Cloning,161061,01:39,12-24 Hours,Mansarovar,"Kotak Mahindra ATM, Madhyam Marg, Mansarovar"
INC-11667,Bikaner,UPI Scam,14256,10:07,1-2 Hours,Malviya Nagar,"Axis Bank ATM, Calgiri Road, Malviya Nagar"
INC-11668,Bhilwara,KYC Fraud,18728,12:48,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Nursery Circle, Vaishali Nagar"
INC-11669,Jaipur,UPI Scam,29004,14:34,1-2 Hours,Bani Park,"Axis Bank ATM, Collectorate Circle, Bani Park"
INC-11670,Bikaner,Sextortion,185393,22:54,12-24 Hours,Pratap Nagar,"Bank of Baroda ATM, Sector 11, Pratap Nagar"
INC-11671,Udaipur,OLX Scam,4499,17:35,1-2 Hours,Vaishali Nagar,"Kotak Mahindra ATM, Gandhi Path, Vaishali Nagar"
INC-11672,Bhilwara,Job Fraud,95837,17:35,12-24 Hours,Malviya Nagar,"HDFC ATM, JLN Marg, Malviya Nagar"
INC-11673,Bhilwara,Loan App Fraud,59128,14:57,12-24 Hours,Sitapura Industrial,"ICICI ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11674,Pali,UPI Scam,10972,20:42,1-2 Hours,Malviya Nagar,"PNB ATM, Sector 3 Market, Malviya Nagar"
INC-11675,Bhilwara,Loan App Fraud,97779,17:00,12-24 Hours,Jagatpura,"HDFC ATM, 7 Number Stand, Jagatpura"
INC-11676,Alwar,KYC Fraud,22965,15:58,1-2 Hours,Vaishali Nagar,"HDFC ATM, Nursery Circle, Vaishali Nagar"
INC-11677,Alwar,Job Fraud,24131,17:47,1-2 Hours,Jagatpura,"Union Bank ATM, SKIT College Road, Jagatpura"
INC-11678,Sikar,Loan App Fraud,91275,03:40,12-24 Hours,Vidyadhar Nagar,"Axis Bank ATM, Sector 2, Vidyadhar Nagar"
INC-11679,Tonk,Loan App Fraud,86896,15:16,12-24 Hours,Sitapura Industrial,"ICICI ATM, EPI Zone, Sitapura Industrial"
INC-11680,Ajmer,Investment Scam,233957,04:42,12-24 Hours,Sitapura Industrial,"Union Bank ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11681,Sikar,Sextortion,154366,00:54,12-24 Hours,Mansarovar,"SBI ATM, Madhyam Marg, Mansarovar"
INC-11682,Bikaner,Loan App Fraud,96189,14:19,12-24 Hours,Malviya Nagar,"Kotak Mahindra ATM, Sector 3 Market, Malviya Nagar"
INC-11683,Kota,Loan App Fraud,81072,23:08,12-24 Hours,Sitapura Industrial,"Bank of Baroda ATM, Tonk Road Junction, Sitapura Industrial"
INC-11684,Bikaner,KYC Fraud,17137,10:44,1-2 Hours,Bani Park,"PNB ATM, Kabir Marg, Bani Park"
INC-11685,Ajmer,Sextortion,128371,00:58,12-24 Hours,Sitapura Industrial,"Kotak Mahindra ATM, India Gate, Sitapura Industrial"
INC-11686,Bikaner,KYC Fraud,7960,16:43,1-2 Hours,Malviya Nagar,"Bank of Baroda ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11687,Sikar,OLX Scam,28856,18:55,1-2 Hours,Malviya Nagar,"SBI ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11688,Kota,KYC Fraud,16306,16:09,1-2 Hours,Mansarovar,"Union Bank ATM, Kaveri Path, Mansarovar"
INC-11689,Alwar,UPI Scam,14431,10:06,1-2 Hours,Mansarovar,"Bank of Baroda ATM, Madhyam Marg, Mansarovar"
INC-11690,Alwar,UPI Scam,18930,13:22,1-2 Hours,Malviya Nagar,"PNB ATM, Gaurav Tower (GT) Road, Malviya Nagar"
INC-11691,Ajmer,Job Fraud,88198,22:39,12-24 Hours,C-Scheme,"Kotak Mahindra ATM, MI Road Junction, C-Scheme"
INC-11692,Bhilwara,KYC Fraud,19284,19:41,1-2 Hours,Mansarovar,"HDFC ATM, VT Road Chauraha, Mansarovar"
INC-11693,Ajmer,Loan App Fraud,58516,05:49,12-24 Hours,Malviya Nagar,"Union Bank ATM, Apex Circle, Malviya Nagar"
INC-11694,Sikar,UPI Scam,21178,17:00,1-2 Hours,Mansarovar,"PNB ATM, Kissan Dharam Kanta, Mansarovar"
INC-11695,Tonk,Credit Card Cloning,281483,00:05,12-24 Hours,Pratap Nagar,"PNB ATM, Haldi Ghati Marg, Pratap Nagar"
INC-11696,Ajmer,OLX Scam,22569,13:58,1-2 Hours,Bani Park,"Kotak Mahindra ATM, Kabir Marg, Bani Park"
INC-11697,Kota,Sextortion,138849,03:20,12-24 Hours,Sitapura Industrial,"HDFC ATM, Mahatma Gandhi Hospital Road, Sitapura Industrial"
INC-11698,Kota,UPI Scam,24239,15:46,1-2 Hours,Malviya Nagar,"PNB ATM, JLN Marg, Malviya Nagar"
INC-11699,Bikaner,Investment Scam,247603,00:16,12-24 Hours,Pratap Nagar,"Axis Bank ATM, Sector 16 Market, Pratap Nagar"
INC-11700,Jodhpur,Investment Scam,204048,00:52,12-24 Hours,Sitapura Industrial,"SBI ATM, EPI Zone, Sitapura Industrial"
INC-11701,Kota,Investment Scam,285427,06:21,12-24 Hours,Jagatpura,"HDFC ATM, Ramnagariya, Jagatpura"
INC-11702,Bikaner,Sextortion,109941,11:03,12-24 Hours,Mansarovar,"PNB ATM, Madhyam Marg, Mansarovar"
INC-11703,Jaipur,Credit Card Cloning,141357,02:48,12-24 Hours,Jhotwara,"SBI ATM, Lata Circle, Jhotwara"
